"filename", "language", "C", "C++", "Makefile", "Markdown", "Shell Script", "reStructuredText", "comment", "blank", "total"
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/drivers/keyboard.c", "C", 32, 0, 0, 0, 0, 0, 15, 14, 61
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/drivers/rtc.c", "C", 87, 0, 0, 0, 0, 0, 55, 30, 172
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/drivers/terminal.c", "C", 201, 0, 0, 0, 0, 0, 106, 60, 367
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/drivers/time.c", "C", 25, 0, 0, 0, 0, 0, 28, 14, 67
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/drivers/vga.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/access.h", "C++", 0, 28, 0, 0, 0, 0, 0, 7, 35
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/exception.h", "C++", 0, 45, 0, 0, 0, 0, 2, 7, 54
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/i8259.h", "C++", 0, 25, 0, 0, 0, 0, 12, 13, 50
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/idt.h", "C++", 0, 7, 0, 0, 0, 0, 0, 6, 13
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/interrupt.h", "C++", 0, 9, 0, 0, 0, 0, 0, 6, 15
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/multiboot.h", "C++", 0, 51, 0, 0, 0, 0, 11, 12, 74
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/page.h", "C++", 0, 53, 0, 0, 0, 0, 0, 22, 75
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/syscall.h", "C++", 0, 20, 0, 0, 0, 0, 49, 24, 93
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/boot/x86_desc.h", "C++", 0, 160, 0, 0, 0, 0, 31, 44, 235
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/debug.h", "C++", 0, 23, 0, 0, 0, 0, 3, 8, 34
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/drivers/fs.h", "C++", 0, 50, 0, 0, 0, 0, 7, 20, 77
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/drivers/keyboard.h", "C++", 0, 24, 0, 0, 0, 0, 1, 9, 34
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/drivers/rtc.h", "C++", 0, 20, 0, 0, 0, 0, 16, 13, 49
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/drivers/terminal.h", "C++", 0, 24, 0, 0, 0, 0, 0, 9, 33
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/drivers/time.h", "C++", 0, 16, 0, 0, 0, 0, 13, 15, 44
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/drivers/vga.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/errno.h", "C++", 0, 44, 0, 0, 0, 0, 2, 5, 51
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/io.h", "C++", 0, 15, 0, 0, 0, 0, 0, 6, 21
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/kmalloc.h", "C++", 0, 61, 0, 0, 0, 0, 0, 17, 78
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/lib.h", "C++", 0, 132, 0, 0, 0, 0, 26, 25, 183
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/list.h", "C++", 0, 34, 0, 0, 0, 0, 0, 18, 52
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/pro/pid.h", "C++", 0, 9, 0, 0, 0, 0, 0, 5, 14
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/pro/process.h", "C++", 0, 96, 0, 0, 0, 0, 9, 30, 135
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/pro/sched.h", "C++", 0, 49, 0, 0, 0, 0, 26, 26, 101
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/rbtree.h", "C++", 0, 11, 0, 0, 0, 0, 1, 10, 22
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/tests/tests.h", "C++", 0, 7, 0, 0, 0, 0, 1, 5, 13
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/types.h", "C++", 0, 18, 0, 0, 0, 0, 8, 13, 39
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/vfs/dentry.h", "C++", 0, 0, 0, 0, 0, 0, 9, 6, 15
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/vfs/file.h", "C++", 0, 17, 0, 0, 0, 0, 4, 7, 28
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/vfs/vfs.h", "C++", 0, 24, 0, 0, 0, 0, 0, 9, 33
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/access.c", "C", 22, 0, 0, 0, 0, 0, 21, 8, 51
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/exception.c", "C", 86, 0, 0, 0, 0, 0, 9, 26, 121
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/file.c", "C", 18, 0, 0, 0, 0, 0, 11, 4, 33
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/i8259.c", "C", 45, 0, 0, 0, 0, 0, 25, 12, 82
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/idt.c", "C", 83, 0, 0, 0, 0, 0, 86, 26, 195
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/kernel.c", "C", 130, 0, 0, 0, 0, 0, 29, 36, 195
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/kmalloc.c", "C", 349, 0, 0, 0, 0, 0, 139, 67, 555
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/pid.c", "C", 21, 0, 0, 0, 0, 0, 29, 15, 65
